zip,type,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,country
624,STANDARD,Penuelas,,"Alt De Penuelas Ii, Alts De Penuelas, Brisas De Guayanes, Colinas De Penuelas, Ext Alts De Penuelas Ii, Jard De Penuelas, Repto Kennedy, Sect Mal Paso, Urb El Madrigal, Urb Guayanes, Urb Monte Verde, Urb Penuelas Valley, Urb Rio Sol, Urb Riverside, Urb Sagrado Corazon, Villa Esmeralda, Vista Bahia",PR,,,787,US
627,STANDARD,Camuy,,"Alts El Maestro, Sect Pena, Urb Del Carmen, Urb Las Veredas, Urb Linda Vista, Vistas De Camuy",PR,,,787,US
631,PO BOX,Castaner,Adjuntas,,PR,,,,US
636,PO BOX,Rosario,,,PR,,,,US
637,STANDARD,Sabana Grande,,"Alts De San Jose, Bda San Isidro, Est Del Rio, Ext San Jose 2, Parc Maginas, Parc Susua, Urb El Arrendado, Urb La Milagrosa, Urb San Miguel, Urb Santa Ana, Urb Santa Elena, Urb Santa Maria, Vistas De Sabana Grande",PR,,,787,US
638,STANDARD,Ciales,,"Qtas De Ciales, Urb Dos Rios, Urb Los Llanos, Urb Monte Rey",PR,,,787,US
641,STANDARD,Utuado,,"Alts De Utuado, Bda Nueva, Ext San Martin, Jard De Bubao, Sect Bella Vista, Sect Cercadillo, Sect Vendrell, Urb Cabrera, Urb Jesus M Lago, Urb Perez Matos, Urb San Martin",PR,,,787,US
646,STANDARD,Dorado,,"Bo Arenal, Bo Saldinera, Bosque Dorado, Chalets De Dorado, Comunidad Arenales, Comunidad Arenales Ii, Hacienda Mi Querido Viejo, Jard De Dorado, Jard Dorado, Parc El Cotto, Parc Mameyal, Parc San Antonio, Paseo Del Mar, Paseo Del Sol, Paseo Las Olas, Paseo Las Palmas, Paseo Los Corales, Paseo Los Corales Ii, Paseo Real, Qtas De Dorado, Sect La Aldea, Urb Costa De Oro, Urb Dorado Country Ests, Urb Dorado Del Mar, Urb Dorado Reef, Urb Doraville, Urb Gables Breeze, Urb Golden Hls, Urb Los Montes, Urb Los Prados Norte, Urb Los Prados Sur, Urb Martorell, Urb Miraflores, Urb Monte Bello, Urb Monte Elena, Urb Monte Mayor, Urb Monte Verde, Urb Montelindo, Urb Montereal, Urb Paisajes De Dorado, Urb Palmar Dorado Norte, Urb Sabanera Dorado, Urb Santa Barbara, Urb The Clusters, Urb The Estates, Valle Dorado, Villa Plata, Villa Santa, Villa Santa Ii",PR,,,787,US
647,STANDARD,Ensenada,,Urb Baco,PR,,,,US
650,STANDARD,Florida,,"Alt De Florida, Est De Arroyo, Repto Seoane, Urb Altos De Florida, Urb Las Flores, Urb Vegas De Florida",PR,,,"787,939",US
652,STANDARD,Garrochales,,"Hacienda De Garrochales, Urb Los Jardines",PR,Arecibo,America/Puerto_Rico,787,US
653,STANDARD,Guanica,,"Bda Esperanza, Bo La Luna, Urb Bahia, Urb Sagrado Corazon, Urb Santa Clara, Vista Mar",PR,,,787,US
656,STANDARD,Guayanilla,,"Bda Guaydia, Bo Los Sitios, Ext Santa Elena 2, Ext Santa Elena 3, Urb La Concepcion, Urb Monte Claro, Urb San Augusto, Urb Santa Elena, Urb Santa Elena 2, Urb Santa Maria, Urb Stella, Villa Del Rio",PR,,,787,US
659,STANDARD,Hatillo,,"Alt De Hatillo, Bda Clan, Brisas De Hatillo, Colinas De Hatillo, Est De Carrizales, Est De La Ceiba, Ext San Ramon, Ext Villa Del Carmen, Parc Santa Rosa, Sect Aviles, Urb Corales De Hatillo, Urb Costa Norte, Urb Hatillo Del Mar, Urb Las Palmas, Urb Mar Azul, Valle Verde, Villa Del Carmen",PR,,,,US
660,STANDARD,Hormigueros,,"Bo Lavadero, Colinas Del Oeste, Est Del Rio, Hacienda La Monserrate, Haciendas Constancia, Parc San Romualdo, Urb Montebello, Urb Verdun, Urb Verdun Ii, Valle Hermoso, Villa Zoraida",PR,,,787,US
662,STANDARD,Isabela,,"Alt Del Mar, Bda La Mayor, Brisas Del Canal, Comunidad Capiro, Comunidad El Canon, Comunidad El Ramal, Comunidad Guanabano, Comunidad Los Pinos, Comunidad Los Ponce, Comunidad Mantilla, Comunidad Ramal, Comunidad Sonuco, Est Del Paraiso, Est Velazquez, Ext Villa Espana, Haciendas De Isabela, Jard Miramar, Mans Del Atlantico, Parc Cotto, Parc Mora Guerrero, Pradera Real, Qtas Del Atlantico, Repto Apolonio Velez Ramos, Repto Capella, Repto Duran, Repto Jerusalen, Repto Las Brisas, Repto Miraflores, Repto Monte Claro, Repto San Antonio, Repto Santa Maria, Repto Vega Badillo, Repto Villa Y Mar, Repto Yomaira, Res Lomas Del Sol, Sect Cachichuelas, Sect California, Sect Casimiro Perez, Sect La Media Cuerda, Sect La Pra, Sect Las Colinas, Sect Las Marias, Sect Las Uvas, Sect Los Toledo, Sect Pueblo Nuevo, Sect Rotarios, Sect San Antonio De La Tuna, Sect Tocones, Sect Verdum, Sect Villa Luna, Urb Costa Brava, Urb Domenech, Urb Figueroa, Urb Hau, Urb Islazul, Urb Lamela, Urb Las Ceibas, Urb Las Flores, Urb Las 3t, Urb Llanos De Isabela, Urb Manuel Corchado, Urb Medina, Urb Salvador Rios, Urb Santa Rosa, Urb Santa Teresita, Urb Sol Y Mar, Villa Acevedo, Villa Gamal, Villa Karen, Villa Lydia, Villa Mizei, Villa Pesquera, Vista Verde, Vistas Del Atlantico",PR,,,787,US
664,STANDARD,Jayuya,,"Alts De Borinquen, Alts De Jayuya, Jard De Jayuya, Urb Hayuya, Urb La Colina, Urb La Monserrate, Urb Vega Linda, Valle Verde",PR,,,787,US
667,STANDARD,Lajas,,"Bda Nicolin Perez, Bda Tomei, Est De Lajas, Est Del Parra, Ext El Valle 2, Jard De Lajas, Parq Real, Urb El Valle, Urb Linda Vista",PR,,,"787,939",US
669,STANDARD,Lares,,"Haciendas De Borinquen Ii, Urb Buena Vista",PR,,,787,US
670,STANDARD,Las Marias,,"Jard De Las Marias, Urb El Bosque, Urb El Coqui, Urb Lavergne",PR,,,"787,939",US
674,STANDARD,Manati,,"Alts De Manati, Bda San Jose, Brisas De Mar Chiquita, Colina Del Mar, Est De Manati, Est De Valle Verde, Est Marylin, Ext Oneill, Ext San Salvador, Hacienda Hermanas Mena, Hacienda La Monserrate, Jard De Monaco 1, Jard De Monaco 2, Jard De Monaco 3, Lomas Del Manatuabon, Parc La Luisa, Parc Marquez, Repto Garcia, Repto Geovani, Repto Marista, Repto Rosello, Urb Atenas, Urb Camino Del Sol Ii, Urb Flamboyan, Urb Las Gardenias, Urb Los Rosales, Urb Luchetti, Urb Manati Chalets, Urb Monte Verde, Urb Oneill, Urb Portofino, Urb San Salvador, Urb Santa Teresa, Valle De Tierras Nuevas, Valle Encantado, Valles De Manati, Villa Beatriz, Villa Evangelina, Villa Forestal, Villa Maria, Villa Nitza, Villas Del Manati, Villas Tesoro",PR,,,787,US
676,STANDARD,Moca,,"Hacienda La Monserrate, Parc Lomas Verdes, Parc Sabana, Res Edad Dorada, Urb Las Palmas, Urb Los Robles, Urb Moca Gdns, Villa Deloamit, Villa Mercedes, Villa Soto",PR,,,787,US
677,STANDARD,Rincon,,"Comunidad Estella, Comunidad Stella, Ext Jard De Rincon, Jard De Rincon, Urb Cerro Los Pobres, Urb Las Lomas, Urb Palma Real, Urb Sea Beach Colony, Villas De La Pradera, Vista Azul",PR,,,"787,939",US
678,STANDARD,Quebradillas,,"Bo Cacao, Brisas Tropical, Parc Chivas, Parc Terranova, Parq Del Retiro, Repto Kennedy, Urb Avila, Urb Dos Ceibas, Urb El Retiro, Urb La Romana, Urb Santa Marina, Villa Norma",PR,,,787,US
680,STANDARD,Mayaguez,,"Bo Balboa, Bo Barcelona, Bo Broadway, Bo Buena Vista, Bo Cantera, Bo Carcel, Bo Colombia, Bo La Quinta, Bo Liceo, Bo Mineral, Bo Paris, Bo Rio Hondo, Bo Sabalos, Bo Salud, Bo Santurce, Ext Belmonte, Lomas Verdes, Repto Antillano, Repto Brisas De Rio Hondo, Repto Flamboyan, Repto Macias, Repto San Miguel, Urb Alemany, Urb Belmonte, Urb Ensanche Ramirez, Urb Ensanche Vivaldi, Urb Flor Del Valle, Urb La Estancia, Urb Monterey, Urb Paraiso De Mayaguez, Urb Ponce De Leon, Urb Pura Brisa, Urb Rio Cristal, Urb Santa Maria, Urb Sultana, Villa Angelica, Villa Gerena, Villa India, Villa Sultanita, Villas De Felisa, Villas Del Rio, Villas Del Sol",PR,,,787,US
681,PO BOX,Mayaguez,,,PR,,,,US
682,STANDARD,Mayaguez,,"Alt De Algarrobo, Alt De Mayaguez, Bo Dulces Labios, Bo El Seco, Bo Mani, Bo Tras Talleres, Jard De Guanajibo, Jard Del Caribe, Mans De Espana, Parc Castillo, Parc Mani, Parc Soledad, Parq De La Ceiba, Repto Los Chevres, Repto San Francisco, Urb Bella Lomas, Urb Buenaventura, Urb Ensanche Ramirez, Urb Fraternidad, Urb Guanajibo Gdns, Urb Guanajibo Homes, Urb Hostos, Urb La Riviera, Urb Llavat, Urb Los Versalles, Urb Mayaguez Terrace, Urb Mendoza, Urb Miradero Gdns, Urb Miradero Hls, Urb Petiteville, Urb Quinto Centenario, Urb Ramirez De Arellano, Urb San Jose, Urb Santa Rosa De Lima, Urb Westernlake Vlg, Villas Del Oeste, Vista Verde",PR,,,787,US
683,STANDARD,San German,,"Ext Mans San German, Ext Parc Sabana Eneas, Ext Santa Maria, Ext Villa Interamericana, Hacienda La Monserrate, Mans De San German, Mans Reales, Parc Sabana Eneas, Paseos Del Valle, Repto Universidad, Urb Borinquen, Urb El Convento, Urb El Pedregal, Urb El Real, Urb La Nueva Salamanca, Urb La Quinta Dr Velez, Urb Las Quintas, Urb Los Sauces, Urb Montebello, Urb Porta Coeli, Urb Retiro, Urb Riverside, Urb Santa Maria, Valle Verde, Villa Auxerre, Villa Interamericana",PR,,,787,US
685,STANDARD,San Sebastian,,"Bda Chinto Rodon, Bda Estalingrado, Bda Paralelo 38, Bda Pueblo Nuevo, Bda Tablastilla, Colinas Verdes, Comunidad Gonzalez, Ext Villa Rita, Jard Guatemala, Repto Pin Mendez, Urb Chinto Rodon, Urb El Culebrina, Urb El Guayabal, Urb La Estancia, Urb Los Alamos, Urb Olivencia, Urb Pedro T Labayen, Urb Pepino, Urb Venturini, Valle Verde, Villa Rita, Villas De Piedra Blanca",PR,,,787,US
687,STANDARD,Morovis,,"Brisas Del Norte, Brisas Del Rio, Comunidad Juan Otero, Ext Torrecillas, Jard De Montellano, Jard De Romany, Jard De Russe, Parc Barahona, Parc Torrecillas, Praderas De Morovis Sur, Qtas De Morovis, Repto Los Torres, Sect Berio, Sect La Alianza, Sect Marrero, Sect Pabon, Urb Cruz Rosario, Urb Las Cumbres, Urb Rose Valley, Urb Russe, Valle Barahona, Valles De San Luis, Villa Roca, Villas Del Norte, Vista Verde",PR,,,787,US
688,STANDARD,Sabana Hoyos,,Est De Sabana,PR,,,787,US
690,STANDARD,San Antonio,,"Brisas De Campo Alegre, Hacienda Asturias, Parq Ind San Antonio, Paseos Reales, Urb Nuevo San Antonio, Urb San Antonio",PR,,,,US
692,STANDARD,Vega Alta,,"Alts De Cerro Gordo 1&2, Alts De Cerro Gordo 3&4, Bda Corea, Bo Brenas, Comunidad Manantial, Est Cerro Gordo, Est Del Valle, Est San Nicolas, Ext La Esperanza, Ext La Inmaculada, Ext Sanchez, Ext Santa Ana, Ext Santa Maria, Ext Santa Rita, Hacienda El Molino, Parc Carmen, Parc Ponderosa, Urb Cerro Gordo Hls, Urb Cielo Dorado, Urb Golden Vlg, Urb Grand Palm Ii, Urb Isomar, Urb La Esperanza, Urb La Inmaculada, Urb Las Colinas, Urb Las Palmas Cerro Gordo, Urb Santa Ana, Urb Santa Rita, Urb Treasure Pt, Urb Velomas, Villa Linares, Vistas De La Vega",PR,,,787,US
693,STANDARD,Vega Baja,,"Alt De Vega Baja, Bda Collazo, Bda Sandin, Bo Algarrobo, Bo Carmelita, Bo La Trocha, Bo Las Granjas, Bo Ojo De Agua, Bo Pueblo Nuevo, Bo Yeguada, Brisas De Tortuguero, Brisas Del Mar, Ciudad Real, Colinas Del Marquez, Comunidad Bethel, Est De Tortuguero, Ext Ocean Front, Hacienda La Arboleda, Haciendas De Monteverde, Jard De Vega Baja, Parc Amadeo, Repto Sobrino, Sect Arenales, Sect Brisas Del Rosario, Sect El Lido, Sect Lomba, Sect Miraflores, Urb Brasilia, Urb Cabo Caribe, Urb Camino Del Sol, Urb Ciara Del Sol, Urb El Rosario, Urb El Verde, Urb Guarico, Urb La Cruv, Urb Las Delicias, Urb Las Flores, Urb Los Almendros, Urb Los Hucares, Urb Monte Carlo, Urb Ocean Front, Urb San Agustin, Urb San Demetrio, Urb San Vicente, Urb Vega Baja Lakes, Urb Vega Serena, Villa Del Rosario, Villa Los Pescadores, Villa Pinares, Villa Real, Villa Rosa 2, Villas De La Playa, Vista Verde",PR,,,787,US
694,PO BOX,Vega Baja,,,PR,,,,US
698,STANDARD,Yauco,,"Alts De Yauco, Alts Del Cafetal, Bda Galarza, Bda Las Delicias, Bda Lluberas, Bo Alto De Cuba, Bo Palomas, Colinas De Yauco, Est De Yauco, Est De Yodimar, Ext Alts De Yauco, Ext Alts De Yauco Ii, Haciendas Florida, Jard De Borinquen, Jard De Montblanc, Jard M Blanco, Qtas De Valle Verde, Repto Esperanza, Res Barinas, Sect La Vega, Sect Las Pelas, Sect Pueblo Nuevo, Urb Barinas, Urb Buena Vista, Urb Costa Sur, Urb El Rocio, Urb El Rosario, Urb Hill View, Urb La Quinta, Urb Los Angeles, Urb Los Pinos, Urb Luchetti, Urb Mifedo, Urb Monteverde, Urb Roosevelt, Urb San Francisco, Urb Turnkey, Villa Milagros, Villa Olimpia, Villas Del Cafetal, Villas Del Cafetal Ii, Vista Real, Vistas De Monte Sol, Vistas Del Palmar",PR,,,787,US
703,STANDARD,Aguas Buenas,,"Est Del Rio, Mans De Aguas Buenas, Urb San Antonio",PR,,,787,US
704,STANDARD,Aguirre,,"Parc Parque, Paseo Costa Del Sur, Sect Lanausse, Urb Eugene Rice, Urb Gonzalez, Urb La Fabrica, Urb Monte Soria 2, Villas Del Coqui, Est De Trinitaria, Ext El Coqui, Parc Cabasa",PR,,,,US
705,STANDARD,Aibonito,,"Bda San Luis, Bo Llanos, Brisas De Aibonito, Colinas De San Francisco, Est Del Llano, Ext Bella Vista, Ext San Luis, Ext Villa Rosales, Repto Robles, Urb Bella Vista, Urb Buena Vista, Urb Golden Vlg Iv, Urb La Providencia, Villa De La Rosa, Villa Rosales, Villas Del Coqui",PR,,,787,US
707,STANDARD,Maunabo,,"Brisas De Emajaguas, Jard Los Almendros, Urb San Pedro, Villa Alegre, Villas De Maunabo",PR,,,"787,939",US
714,STANDARD,Arroyo,,"Ext Jard De Arroyo, Jard De Arroyo, Jard De Lafayette, Parq De Guasimas, Qtas De Guasima, Repto Bello Mar, Urb Arroyo Del Mar, Urb Belinda, Urb Las 500, Urb Miramar 1, Urb Palmar 2, Urb San Antonio, Villas De Lafayette",PR,,,"787,939",US
715,STANDARD,Mercedita,Ponce,"Bo Calzada, Bo La Cuarta, Brisas De Maravilla, Central Mercedita",PR,,,787,US
716,STANDARD,Ponce,Mercedita,"Bo Bucana, Bo Campo Alegre, Bo Sabanetas, Bo Tenerias, Comunidad Tabaiba, Est Del Carmen, Ext Alhambra, Ext Alta Vista, Ext Villa Del Carmen, Jard Alhambra, Jard Fagot, Parc Amalia Marin, Parc Sabanetas, Parq Del Rio, Repto Anaida, Repto Sabanetas, Sect Los Potes, Sect Playita, Sect Salistral, Urb Alhambra, Urb Alhambra Ct, Urb Alta Vista, Urb Anaida, Urb Bella Vista, Urb Camino Del Sur, Urb Costa Caribe, Urb Costa Sabana, Urb El Monte, Urb Flamboyanes, Urb Las Monjitas, Urb Lirios Del Sur, Urb Los Almendros, Urb Los Caobos, Urb Sagrado Corazon, Urb San Tomas, Urb Santa Clara, Valle Real, Valle Verde, Villa De Juan, Villa Del Carmen, Villa Del Sagrado Corazon, Villa Esperanza, Villa Flores, Villa Pampanos, Villa Tabaiba, Vista Point, Vistas Del Mar",PR,,,787,US
717,STANDARD,Ponce,,"Bda Belgica, Bda Mariani, Bda Salazar, Bda Santa Rosa, Bo Caracoles, Bo Cuatro Calles, Bo San Anton, Ext Salazar, Repto Universitario, Urb Buena Vista, Urb Constancia, Urb Constancia Gdns, Urb El Bosque, Urb Los Maestros, Urb Mariani, Urb Mercedita, Urb Patio Laboy, Urb Perla Del Sur, Urb San Antonio, Urb San Jorge, Urb Santa Maria, Urb Starlight, Villa Grillasca, Vista Alegre",PR,,,,US
718,STANDARD,Naguabo,,"Brisas De Naguabo, Hacienda Grande, Jard De Esperanza, Jard De La Via, Jard Del Este, Mans Playa Hucares, Repto Santiago, Urb Casabella, Urb City Palace, Urb Diplo, Urb Juan Mendoza, Urb Promised Land, Urb Ramon Rivero, Urb Santo Tomas, Villa Del Rosario",PR,,,787,US
719,STANDARD,Naranjito,,Jard De Naranjito,PR,,,787,US
720,STANDARD,Orocovis,,"Alt De Orocovis, Urb Santa Teresita, Villas De Orocovix I, Villas De Orocovix Ii",PR,,,"787,939",US
721,PO BOX,Palmer,Rio Grande,,PR,,,,US
723,STANDARD,Patillas,,"Jard De Mamey, Jard De Patillas, Parq Del Sol, Portales De Jacaboa, Urb El Paraiso, Urb Mariani, Urb San Benito, Urb San Jose, Urb San Martin, Valle Alto, Valle De La Providencia, Villas De Patillas",PR,Patillas,America/Puerto_Rico,,US
725,STANDARD,Caguas,,"Alt De Caguas, Alt Del Turabo, Bda Morales, Bosques De La Sierra, Brisas Del Parque I, Brisas Del Parque Ii, Est El Verde, Ext Caguax, Ext El Verde, Ext La Granja, Ext Villa Blanca, Hacienda Borinquen, Jard Pla, Lomas De La Serrania, Parq Las Mercedes, Paseo Del Rio, Qtas De San Luis 1, Qtas De San Luis 2, Qtas De Villa Blanca, Repto Caguax, Repto Solano, Res Bairoa, Terr De Borinquen, Urb Balcones Las Catalinas, Urb Batista, Urb Billy Suarez, Urb Bonneville Gdns, Urb Bonneville Terr, Urb Borinquen Valley, Urb Brooklyn, Urb Bunker, Urb Caguas Milenio, Urb Caguas Norte, Urb Caribe Gdns, Urb Condado Moderno, Urb Condado Viejo, Urb El Retiro, Urb El Rincon De La Serrania, Urb El Verde, Urb Grillo, Urb Jose Delgado, Urb Jose Mercado, Urb La Granja, Urb La Meseta, Urb Machin, Urb Mariolga, Urb Monticielo, Urb Myrlena, Urb Nazario, Urb Notre Dame, Urb Paradise, Urb San Alfonso, Urb San Antonio, Urb San Marcos, Urb San Pedro Est, Urb San Rafael, Urb Santa Cecilia, Urb Santa Elvira, Urb Santa Juana, Urb Santa Juana 2, Urb Santa Juana 3, Urb Santa Juana 4, Urb Santa Rosa, Urb Santo Domingo, Urb Verde Sur, Valle De San Luis, Valles Del Lago, Villa Blanca, Villa Borinquen, Villa Carmen, Villa De Castro, Villa Del Rey 1, Villa Del Rey 2, Villa Guadalupe, Villa Las Mercedes, Villa Los Criollos, Villa Maria, Villa Turabo, Villa Victoria, Villas De Rio Verde, Villas Del Rio Verde",PR,,,787,US
726,PO BOX,Caguas,,,PR,,,,US
727,STANDARD,Caguas,,"Alt De La Fuente, Alt Villa Del Rey, Bosque Verde, Chalets De Bairoa, Ciudad Jardin De Bairoa, Est De Bairoa, Est Degetau, Est Del Turabo, Hacienda San Jose, Jard De Caguas, Mans De Ciudad Jardin Bairoa, Mans El Paraiso, Parq Del Monte, Parq Del Monte 2, Parq Del Rio, Parq Las Haciendas, Repto San Jose, Sect Altos De La Fuente, Urb Altomonte, Urb Altos De La Fuente, Urb Arbolada, Urb Bairoa Golden Gate Ii, Urb Bairoa Golden Gates, Urb Bairoa Park, Urb Bonneville Hts, Urb Bonneville Manor, Urb Bonneville Vly, Urb Diamond Vlg, Urb El Valle, Urb Idamaris Gdns, Urb Islabella, Urb La Reserva, Urb Las Nubes, Urb Mirador De Bairoa, Urb Palmas Del Turabo, Urb Terralinda, Urb Turabo Gdns, Valle Tolima, Valle Verde, Villa Caliz, Villa Del Rey 3, Villa Del Rey 4, Villa Del Rey 5, Villa Esperanza, Villa Hermosa, Villa Nueva",PR,,,787,US
728,STANDARD,Ponce,,"Bda Baldorioty, Bo Magueyes, Bosque Senorial, Brisas Del Mar, Comunidad Punta Diamante, Ext Jard Del Caribe, Ext Las Delicias 2, Ext Punto Oro, Ext Villa Paraiso, Hacienda La Matilde, Hacienda Las Lomas, Jard Del Caribe, Jard Del Caribe 5, Parc El Tuque, Parc Magueyes, Parc Nueva Vida, Parc Nuevas Magueyes, Parc Quebrada Limon, Qtas Del Sur, Res Canas Housing, Res Perla Del Bucana, Sect La Cotorra, Sect Las Batatas, Sect Las Cucharas, Sect Playita, Urb Baldorioty, Urb Baramaya, Urb Bello Horizonte, Urb Canas, Urb Casa Mia, Urb La Providencia, Urb Las Delicias, Urb Las Margaritas, Urb Morell Campos, Urb Punto Oro, Urb Rio Canas, Urb San Antonio, Urb San Jose, Valle Altamira, Valle De Andalucia, Valle Del Rey, Villa Delicias, Villa Paraiso, Villa Rio Canas",PR,,,,US
729,STANDARD,Canovanas,,"Brisas De Canovanas, Brisas De Loiza, Ciudad Jardin De Canovanas, Est Del Rio, Ext Villas De Loiza, Haciendas De Canovanas, Jard De Canovanas, Jard De Palmarejo, Parc Central, Parc Monteverde, Parc San Isidro, Parc Villa Delicias, Qtas De Canovanas, Qtas Jard De Parmarejo, Urb Country View, Urb Del Pilar, Urb Las Haciendas Canovanas, Urb Las Vegas, Urb Loiza Valley, Urb Los Eucaliptos, Urb Pueblo Indio, Urb River Gdns, Urb River Plantation, Urb River Valley, Urb River Valley Pk, Urb Town Pk, Urb Usubal, Villas De Loiza, Villas Del Este, Villas Doradas",PR,CanÃƒÂ³vanas,America/Puerto_Rico,787,US
730,STANDARD,Ponce,,"Alt Del Madrigal, Bda Borinquen, Bda Clausells, Bda Ferran, Bda Tamarindo, Bo La Ponderosa, Bo Magueyes, Bo Pueblito Nuevo, Bo Tamarindo, Comunidad Playita Ferry, Est Del Golf Club, Ext El Madrigal, Ext La Guadalupe, Ext Qtas De Monserrate, Ext Santa Teresita, Ext Valle Alto, Jard De Ponce, Lomas De Country Club, Qtas De Monserrate, Sect Clausell, Sect La Ponderosa, Sect Las Canitas, Sect Playita, Urb El Madrigal, Urb Ferry Barranca, Urb Glenview Gdns, Urb Jacaranda, Urb Jaime L Drew, Urb La Guadalupe, Urb La Lula, Urb La Rambla, Urb Las Monjitas, Urb Morell Campos, Urb Nuevo Mameyes, Urb Santa Teresita, Urb Tibes, Valle Alto, Villa Dos Rios",PR,,,787,US
731,STANDARD,Ponce,,"Urb Riberas De Bucana, Urb Terra Senorial",PR,,,787,US
732,PO BOX,Ponce,,,PR,,,,US
733,PO BOX,Ponce,,,PR,,,,US
734,PO BOX,Ponce,,,PR,,,,US
